December 2023 Global Gridded Temperature Anomalies (Degrees Celsius)
Base Period: 1991-2020
Missing: -999.00
Latitude,Longitude,Anomaly
87.5S,2.5E,0.02
87.5S,7.5E,-0.55
87.5S,12.5E,-0.56
87.5S,17.5E,-0.57
87.5S,22.5E,-0.59
87.5S,27.5E,-0.61
87.5S,32.5E,-0.62
87.5S,37.5E,-0.63
87.5S,42.5E,-0.65
87.5S,47.5E,-0.66
87.5S,52.5E,-0.69
87.5S,57.5E,-0.74
87.5S,62.5E,-0.78
87.5S,67.5E,-0.81
87.5S,72.5E,-0.83
87.5S,77.5E,-0.82
87.5S,82.5E,-0.80
87.5S,87.5E,-0.78
87.5S,92.5E,-0.75
87.5S,97.5E,-0.72
87.5S,102.5E,-0.68
87.5S,107.5E,-0.66
87.5S,112.5E,-0.63
87.5S,117.5E,-0.60
87.5S,122.5E,-0.59
87.5S,127.5E,-0.57
87.5S,132.5E,-0.55
87.5S,137.5E,-0.55
87.5S,142.5E,-0.54
87.5S,147.5E,-0.51
87.5S,152.5E,-0.49
87.5S,157.5E,-0.49
87.5S,162.5E,-0.48
87.5S,167.5E,-0.48
87.5S,172.5E,-0.48
87.5S,177.5E,-0.47
87.5S,177.5W,-0.47
87.5S,172.5W,-0.47
87.5S,167.5W,-0.47
87.5S,162.5W,-0.50
87.5S,157.5W,-0.51
87.5S,152.5W,-0.50
87.5S,147.5W,-0.50
87.5S,142.5W,-0.51
87.5S,137.5W,-0.55
87.5S,132.5W,-0.59
87.5S,127.5W,-0.58
87.5S,122.5W,-0.55
87.5S,117.5W,-0.51
87.5S,112.5W,-0.46
87.5S,107.5W,-0.44
87.5S,102.5W,-0.46
87.5S,97.5W,-0.49
87.5S,92.5W,-0.49
87.5S,87.5W,-0.51
87.5S,82.5W,-0.50
87.5S,77.5W,-0.48
87.5S,72.5W,-0.47
87.5S,67.5W,-0.46
87.5S,62.5W,-0.46
87.5S,57.5W,-0.46
87.5S,52.5W,-0.45
87.5S,47.5W,-0.45
87.5S,42.5W,-0.43
87.5S,37.5W,-0.41
87.5S,32.5W,-0.39
87.5S,27.5W,-0.38
87.5S,22.5W,-0.36
87.5S,17.5W,-0.37
87.5S,12.5W,-0.36
87.5S,7.5W,-0.36
87.5S,2.5W,-0.36
82.5S,2.5E,-0.53
82.5S,7.5E,-0.22
82.5S,12.5E,-0.20
82.5S,17.5E,-0.20
82.5S,22.5E,-0.19
82.5S,27.5E,-0.20
82.5S,32.5E,-0.20
82.5S,37.5E,-0.22
82.5S,42.5E,-0.25
82.5S,47.5E,-0.31
82.5S,52.5E,-0.41
82.5S,57.5E,-0.53
82.5S,62.5E,-0.73
82.5S,67.5E,-0.85
82.5S,72.5E,-0.90
82.5S,77.5E,-0.95
82.5S,82.5E,-0.92
82.5S,87.5E,-0.86
82.5S,92.5E,-0.81
82.5S,97.5E,-0.77
82.5S,102.5E,-0.75
82.5S,107.5E,-0.71
82.5S,112.5E,-0.68
82.5S,117.5E,-0.66
82.5S,122.5E,-0.64
82.5S,127.5E,-0.64
82.5S,132.5E,-0.64
82.5S,137.5E,-0.63
82.5S,142.5E,-0.62
82.5S,147.5E,-0.59
82.5S,152.5E,-0.52
82.5S,157.5E,-0.48
82.5S,162.5E,-0.45
82.5S,167.5E,-0.33
82.5S,172.5E,-0.24
82.5S,177.5E,-0.17
82.5S,177.5W,-0.21
82.5S,172.5W,-0.32
82.5S,167.5W,-0.13
82.5S,162.5W,0.03
82.5S,157.5W,0.05
82.5S,152.5W,-0.14
82.5S,147.5W,-0.12
82.5S,142.5W,-0.23
82.5S,137.5W,-0.39
82.5S,132.5W,-0.55
82.5S,127.5W,-0.61
82.5S,122.5W,-0.60
82.5S,117.5W,-0.54
82.5S,112.5W,-0.40
82.5S,107.5W,-0.30
82.5S,102.5W,-0.25
82.5S,97.5W,-0.23
82.5S,92.5W,-0.14
82.5S,87.5W,-0.20
82.5S,82.5W,-0.25
82.5S,77.5W,-0.30
82.5S,72.5W,-0.29
82.5S,67.5W,-0.27
82.5S,62.5W,-0.23
82.5S,57.5W,-0.13
82.5S,52.5W,-0.11
82.5S,47.5W,-0.13
82.5S,42.5W,-0.06
82.5S,37.5W,-0.02
82.5S,32.5W,-0.07
82.5S,27.5W,-0.02
82.5S,22.5W,-0.02
82.5S,17.5W,-0.03
82.5S,12.5W,-0.03
82.5S,7.5W,-0.02
82.5S,2.5W,-0.02
77.5S,2.5E,-0.27
77.5S,7.5E,0.18
77.5S,12.5E,0.36
77.5S,17.5E,0.43
77.5S,22.5E,0.44
77.5S,27.5E,0.41
77.5S,32.5E,0.35
77.5S,37.5E,0.22
77.5S,42.5E,0.15
77.5S,47.5E,0.05
77.5S,52.5E,-0.37
77.5S,57.5E,-0.84
77.5S,62.5E,-1.23
77.5S,67.5E,-1.53
77.5S,72.5E,-1.66
77.5S,77.5E,-1.68
77.5S,82.5E,-1.57
77.5S,87.5E,-1.39
77.5S,92.5E,-1.08
77.5S,97.5E,-0.75
77.5S,102.5E,-0.51
77.5S,107.5E,-0.37
77.5S,112.5E,-0.30
77.5S,117.5E,-0.28
77.5S,122.5E,-0.32
77.5S,127.5E,-0.37
77.5S,132.5E,-0.38
77.5S,137.5E,-0.37
77.5S,142.5E,-0.32
77.5S,147.5E,-0.22
77.5S,152.5E,-0.14
77.5S,157.5E,-0.12
77.5S,162.5E,-0.09
77.5S,167.5E,-0.37
77.5S,172.5E,-0.15
77.5S,177.5E,-0.22
77.5S,177.5W,-0.30
77.5S,172.5W,-0.32
77.5S,167.5W,-0.13
77.5S,162.5W,0.03
77.5S,157.5W,0.28
77.5S,152.5W,0.41
77.5S,147.5W,0.21
77.5S,142.5W,0.04
77.5S,137.5W,-0.31
77.5S,132.5W,-0.52
77.5S,127.5W,-0.56
77.5S,122.5W,-0.48
77.5S,117.5W,-0.38
77.5S,112.5W,-0.25
77.5S,107.5W,-0.17
77.5S,102.5W,-0.11
77.5S,97.5W,-0.05
77.5S,92.5W,0.01
77.5S,87.5W,0.05
77.5S,82.5W,0.10
77.5S,77.5W,0.16
77.5S,72.5W,0.23
77.5S,67.5W,0.36
77.5S,62.5W,0.51
77.5S,57.5W,0.60
77.5S,52.5W,0.64
77.5S,47.5W,0.69
77.5S,42.5W,0.54
77.5S,37.5W,0.62
77.5S,32.5W,0.47
77.5S,27.5W,0.08
77.5S,22.5W,0.39
77.5S,17.5W,0.30
77.5S,12.5W,0.23
77.5S,7.5W,0.26
77.5S,2.5W,0.33
72.5S,2.5E,-0.11
72.5S,7.5E,0.27
72.5S,12.5E,0.32
72.5S,17.5E,0.35
72.5S,22.5E,0.33
72.5S,27.5E,0.33
72.5S,32.5E,0.31
72.5S,37.5E,0.20
72.5S,42.5E,-0.34
72.5S,47.5E,-0.11
72.5S,52.5E,-0.32
72.5S,57.5E,-0.53
72.5S,62.5E,-0.89
72.5S,67.5E,-1.37
72.5S,72.5E,-4.03
72.5S,77.5E,-2.83
72.5S,82.5E,-1.82
72.5S,87.5E,-1.36
72.5S,92.5E,-0.93
72.5S,97.5E,-0.46
72.5S,102.5E,-0.16
72.5S,107.5E,-0.06
72.5S,112.5E,0.08
72.5S,117.5E,0.05
72.5S,122.5E,-0.07
72.5S,127.5E,-0.06
72.5S,132.5E,-0.04
72.5S,137.5E,-0.05
72.5S,142.5E,0.07
72.5S,147.5E,0.24
72.5S,152.5E,0.42
72.5S,157.5E,0.50
72.5S,162.5E,0.19
72.5S,167.5E,0.02
72.5S,172.5E,-0.17
72.5S,177.5E,-0.12
72.5S,177.5W,-0.02
72.5S,172.5W,0.09
72.5S,167.5W,0.01
72.5S,162.5W,0.00
72.5S,157.5W,0.00
72.5S,152.5W,0.00
72.5S,147.5W,0.00
72.5S,142.5W,0.00
72.5S,137.5W,0.00
72.5S,132.5W,0.00
72.5S,127.5W,0.00
72.5S,122.5W,0.00
72.5S,117.5W,-0.03
72.5S,112.5W,-0.08
72.5S,107.5W,-0.04
72.5S,102.5W,-0.06
72.5S,97.5W,0.02
72.5S,92.5W,0.05
72.5S,87.5W,0.04
72.5S,82.5W,0.03
72.5S,77.5W,0.05
72.5S,72.5W,0.02
72.5S,67.5W,0.33
72.5S,62.5W,0.43
72.5S,57.5W,-0.01
72.5S,52.5W,0.00
72.5S,47.5W,0.00
72.5S,42.5W,0.00
72.5S,37.5W,0.00
72.5S,32.5W,-0.01
72.5S,27.5W,-0.06
72.5S,22.5W,-0.09
72.5S,17.5W,0.05
72.5S,12.5W,0.31
72.5S,7.5W,0.18
72.5S,2.5W,-0.27
67.5S,2.5E,0.13
67.5S,7.5E,0.34
67.5S,12.5E,0.35
67.5S,17.5E,0.37
67.5S,22.5E,0.35
67.5S,27.5E,0.09
67.5S,32.5E,0.16
67.5S,37.5E,0.20
67.5S,42.5E,0.39
67.5S,47.5E,0.23
67.5S,52.5E,0.27
67.5S,57.5E,0.09
67.5S,62.5E,0.15
67.5S,67.5E,-0.13
67.5S,72.5E,0.46
67.5S,77.5E,0.09
67.5S,82.5E,-0.81
67.5S,87.5E,-1.09
67.5S,92.5E,-0.74
67.5S,97.5E,-0.59
67.5S,102.5E,-0.62
67.5S,107.5E,-0.25
67.5S,112.5E,-0.26
67.5S,117.5E,-0.54
67.5S,122.5E,-0.37
67.5S,127.5E,-0.39
67.5S,132.5E,-0.38
67.5S,137.5E,-0.24
67.5S,142.5E,-0.06
67.5S,147.5E,-0.01
67.5S,152.5E,0.05
67.5S,157.5E,-0.01
67.5S,162.5E,-0.08
67.5S,167.5E,-0.05
67.5S,172.5E,-0.08
67.5S,177.5E,0.01
67.5S,177.5W,0.29
67.5S,172.5W,0.30
67.5S,167.5W,0.09
67.5S,162.5W,0.00
67.5S,157.5W,0.04
67.5S,152.5W,0.06
67.5S,147.5W,0.03
67.5S,142.5W,-0.02
67.5S,137.5W,-0.11
67.5S,132.5W,-0.18
67.5S,127.5W,-0.22
67.5S,122.5W,-0.35
67.5S,117.5W,-0.53
67.5S,112.5W,-0.69
67.5S,107.5W,-0.85
67.5S,102.5W,-0.91
67.5S,97.5W,-0.82
67.5S,92.5W,-0.70
67.5S,87.5W,-0.70
67.5S,82.5W,-0.73
67.5S,77.5W,-0.70
67.5S,72.5W,-0.37
67.5S,67.5W,-0.08
67.5S,62.5W,0.00
67.5S,57.5W,-0.01
67.5S,52.5W,-0.01
67.5S,47.5W,-0.01
67.5S,42.5W,-0.01
67.5S,37.5W,-0.02
67.5S,32.5W,-0.04
67.5S,27.5W,-0.06
67.5S,22.5W,-0.08
67.5S,17.5W,-0.13
67.5S,12.5W,-0.17
67.5S,7.5W,-0.17
67.5S,2.5W,-0.35
62.5S,2.5E,0.34
62.5S,7.5E,0.38
62.5S,12.5E,0.37
62.5S,17.5E,0.35
62.5S,22.5E,0.30
62.5S,27.5E,0.04
62.5S,32.5E,-0.06
62.5S,37.5E,0.06
62.5S,42.5E,0.10
