November 2023 Global Gridded Temperature Anomalies (Degrees Celsius)
Base Period: 1991-2020
Missing: -999.00
Latitude,Longitude,Anomaly
87.5S,2.5E,0.02
87.5S,7.5E,-1.65
87.5S,12.5E,-1.70
87.5S,17.5E,-1.74
87.5S,22.5E,-1.79
87.5S,27.5E,-1.84
87.5S,32.5E,-1.88
87.5S,37.5E,-1.92
87.5S,42.5E,-1.98
87.5S,47.5E,-2.03
87.5S,52.5E,-2.10
87.5S,57.5E,-2.17
87.5S,62.5E,-2.24
87.5S,67.5E,-2.30
87.5S,72.5E,-2.36
87.5S,77.5E,-2.38
87.5S,82.5E,-2.39
87.5S,87.5E,-2.40
87.5S,92.5E,-2.38
87.5S,97.5E,-2.35
87.5S,102.5E,-2.33
87.5S,107.5E,-2.29
87.5S,112.5E,-2.26
87.5S,117.5E,-2.23
87.5S,122.5E,-2.18
87.5S,127.5E,-2.14
87.5S,132.5E,-2.11
87.5S,137.5E,-2.07
87.5S,142.5E,-2.02
87.5S,147.5E,-1.97
87.5S,152.5E,-1.92
87.5S,157.5E,-1.88
87.5S,162.5E,-1.85
87.5S,167.5E,-1.82
87.5S,172.5E,-1.81
87.5S,177.5E,-1.80
87.5S,177.5W,-1.80
87.5S,172.5W,-1.81
87.5S,167.5W,-1.82
87.5S,162.5W,-1.85
87.5S,157.5W,-1.87
87.5S,152.5W,-1.86
87.5S,147.5W,-1.84
87.5S,142.5W,-1.84
87.5S,137.5W,-1.87
87.5S,132.5W,-1.88
87.5S,127.5W,-1.87
87.5S,122.5W,-1.81
87.5S,117.5W,-1.75
87.5S,112.5W,-1.68
87.5S,107.5W,-1.64
87.5S,102.5W,-1.63
87.5S,97.5W,-1.62
87.5S,92.5W,-1.58
87.5S,87.5W,-1.55
87.5S,82.5W,-1.51
87.5S,77.5W,-1.48
87.5S,72.5W,-1.45
87.5S,67.5W,-1.43
87.5S,62.5W,-1.43
87.5S,57.5W,-1.40
87.5S,52.5W,-1.39
87.5S,47.5W,-1.38
87.5S,42.5W,-1.34
87.5S,37.5W,-1.31
87.5S,32.5W,-1.29
87.5S,27.5W,-1.25
87.5S,22.5W,-1.22
87.5S,17.5W,-1.22
87.5S,12.5W,-1.19
87.5S,7.5W,-1.18
87.5S,2.5W,-1.42
82.5S,2.5E,-1.61
82.5S,7.5E,-0.70
82.5S,12.5E,-0.80
82.5S,17.5E,-0.95
82.5S,22.5E,-1.08
82.5S,27.5E,-1.21
82.5S,32.5E,-1.39
82.5S,37.5E,-1.57
82.5S,42.5E,-1.73
82.5S,47.5E,-1.98
82.5S,52.5E,-2.20
82.5S,57.5E,-2.40
82.5S,62.5E,-2.52
82.5S,67.5E,-2.56
82.5S,72.5E,-2.62
82.5S,77.5E,-2.56
82.5S,82.5E,-2.46
82.5S,87.5E,-2.36
82.5S,92.5E,-2.29
82.5S,97.5E,-2.22
82.5S,102.5E,-2.12
82.5S,107.5E,-2.09
82.5S,112.5E,-2.05
82.5S,117.5E,-2.00
82.5S,122.5E,-2.01
82.5S,127.5E,-1.99
82.5S,132.5E,-1.94
82.5S,137.5E,-1.92
82.5S,142.5E,-1.89
82.5S,147.5E,-1.80
82.5S,152.5E,-1.73
82.5S,157.5E,-1.66
82.5S,162.5E,-1.56
82.5S,167.5E,-1.43
82.5S,172.5E,-1.65
82.5S,177.5E,-1.79
82.5S,177.5W,-1.70
82.5S,172.5W,-1.78
82.5S,167.5W,-1.07
82.5S,162.5W,-0.76
82.5S,157.5W,-0.74
82.5S,152.5W,-1.60
82.5S,147.5W,-1.49
82.5S,142.5W,-1.61
82.5S,137.5W,-1.88
82.5S,132.5W,-2.02
82.5S,127.5W,-2.09
82.5S,122.5W,-2.13
82.5S,117.5W,-1.92
82.5S,112.5W,-1.66
82.5S,107.5W,-1.39
82.5S,102.5W,-1.31
82.5S,97.5W,-1.28
82.5S,92.5W,-1.23
82.5S,87.5W,-1.27
82.5S,82.5W,-1.19
82.5S,77.5W,-1.08
82.5S,72.5W,-0.97
82.5S,67.5W,-0.87
82.5S,62.5W,-0.75
82.5S,57.5W,-0.58
82.5S,52.5W,-0.51
82.5S,47.5W,-0.53
82.5S,42.5W,-0.58
82.5S,37.5W,-0.57
82.5S,32.5W,-0.59
82.5S,27.5W,-0.58
82.5S,22.5W,-0.60
82.5S,17.5W,-0.58
82.5S,12.5W,-0.56
82.5S,7.5W,-0.55
82.5S,2.5W,-0.57
77.5S,2.5E,-0.67
77.5S,7.5E,-0.20
77.5S,12.5E,-0.34
77.5S,17.5E,-0.64
77.5S,22.5E,-1.05
77.5S,27.5E,-1.44
77.5S,32.5E,-1.73
77.5S,37.5E,-1.98
77.5S,42.5E,-2.07
77.5S,47.5E,-2.13
77.5S,52.5E,-2.36
77.5S,57.5E,-2.43
77.5S,62.5E,-2.52
