Anomaly,Decimal Latitude,Decimal Longitude
0.02,-87.5,2.5
-0.55,-87.5,7.5
-0.56,-87.5,12.5
-0.57,-87.5,17.5
-0.59,-87.5,22.5
-0.61,-87.5,27.5
-0.62,-87.5,32.5
-0.63,-87.5,37.5
-0.65,-87.5,42.5
-0.66,-87.5,47.5
-0.69,-87.5,52.5
-0.74,-87.5,57.5
-0.78,-87.5,62.5
-0.81,-87.5,67.5
-0.83,-87.5,72.5
-0.82,-87.5,77.5
-0.8,-87.5,82.5
-0.78,-87.5,87.5
-0.75,-87.5,92.5
-0.72,-87.5,97.5
-0.68,-87.5,102.5
-0.66,-87.5,107.5
-0.63,-87.5,112.5
-0.6,-87.5,117.5
-0.59,-87.5,122.5
-0.57,-87.5,127.5
-0.55,-87.5,132.5
-0.55,-87.5,137.5
-0.54,-87.5,142.5
-0.51,-87.5,147.5
-0.49,-87.5,152.5
-0.49,-87.5,157.5
-0.48,-87.5,162.5
-0.48,-87.5,167.5
-0.48,-87.5,172.5
-0.47,-87.5,177.5
-0.47,-87.5,177.5
-0.47,-87.5,172.5
-0.47,-87.5,167.5
-0.5,-87.5,162.5
-0.51,-87.5,157.5
-0.5,-87.5,152.5
-0.5,-87.5,147.5
-0.51,-87.5,142.5
-0.55,-87.5,137.5
-0.59,-87.5,132.5
-0.58,-87.5,127.5
-0.55,-87.5,122.5
-0.51,-87.5,117.5
-0.46,-87.5,112.5
-0.44,-87.5,107.5
-0.46,-87.5,102.5
-0.49,-87.5,97.5
-0.49,-87.5,92.5
-0.51,-87.5,87.5
-0.5,-87.5,82.5
-0.48,-87.5,77.5
-0.47,-87.5,72.5
-0.46,-87.5,67.5
-0.46,-87.5,62.5
-0.46,-87.5,57.5
-0.45,-87.5,52.5
-0.45,-87.5,47.5
-0.43,-87.5,42.5
-0.41,-87.5,37.5
-0.39,-87.5,32.5
-0.38,-87.5,27.5
-0.36,-87.5,22.5
-0.37,-87.5,17.5
-0.36,-87.5,12.5
-0.36,-87.5,7.5
-0.36,-87.5,2.5
-0.53,-82.5,2.5
-0.22,-82.5,7.5
-0.2,-82.5,12.5
-0.2,-82.5,17.5
-0.19,-82.5,22.5
-0.2,-82.5,27.5
-0.2,-82.5,32.5
-0.22,-82.5,37.5
-0.25,-82.5,42.5
-0.31,-82.5,47.5
-0.41,-82.5,52.5
-0.53,-82.5,57.5
-0.73,-82.5,62.5
-0.85,-82.5,67.5
-0.9,-82.5,72.5
-0.95,-82.5,77.5
-0.92,-82.5,82.5
-0.86,-82.5,87.5
-0.81,-82.5,92.5
-0.77,-82.5,97.5
-0.75,-82.5,102.5
-0.71,-82.5,107.5
-0.68,-82.5,112.5
-0.66,-82.5,117.5
-0.64,-82.5,122.5
-0.64,-82.5,127.5
-0.64,-82.5,132.5
-0.63,-82.5,137.5
-0.62,-82.5,142.5
-0.59,-82.5,147.5
-0.52,-82.5,152.5
-0.48,-82.5,157.5
-0.45,-82.5,162.5
-0.33,-82.5,167.5
-0.24,-82.5,172.5
-0.17,-82.5,177.5
-0.21,-82.5,177.5
-0.32,-82.5,172.5
-0.13,-82.5,167.5
0.03,-82.5,162.5
0.05,-82.5,157.5
-0.14,-82.5,152.5
-0.12,-82.5,147.5
-0.23,-82.5,142.5
-0.39,-82.5,137.5
-0.55,-82.5,132.5
-0.61,-82.5,127.5
-0.6,-82.5,122.5
-0.54,-82.5,117.5
-0.4,-82.5,112.5
-0.3,-82.5,107.5
-0.25,-82.5,102.5
-0.23,-82.5,97.5
-0.14,-82.5,92.5
-0.2,-82.5,87.5
-0.25,-82.5,82.5
-0.3,-82.5,77.5
-0.29,-82.5,72.5
-0.27,-82.5,67.5
-0.23,-82.5,62.5
-0.13,-82.5,57.5
-0.11,-82.5,52.5
-0.13,-82.5,47.5
-0.06,-82.5,42.5
-0.02,-82.5,37.5
-0.07,-82.5,32.5
-0.02,-82.5,27.5
-0.02,-82.5,22.5
-0.03,-82.5,17.5
-0.03,-82.5,12.5
-0.02,-82.5,7.5
-0.02,-82.5,2.5
-0.27,-77.5,2.5
0.18,-77.5,7.5
0.36,-77.5,12.5
0.43,-77.5,17.5
0.44,-77.5,22.5
0.41,-77.5,27.5
0.35,-77.5,32.5
0.22,-77.5,37.5
0.15,-77.5,42.5
0.05,-77.5,47.5
-0.37,-77.5,52.5
-0.84,-77.5,57.5
-1.23,-77.5,62.5
-1.53,-77.5,67.5
-1.66,-77.5,72.5
-1.68,-77.5,77.5
-1.57,-77.5,82.5
-1.39,-77.5,87.5
-1.08,-77.5,92.5
-0.75,-77.5,97.5
-0.51,-77.5,102.5
-0.37,-77.5,107.5
-0.3,-77.5,112.5
-0.28,-77.5,117.5
-0.32,-77.5,122.5
-0.37,-77.5,127.5
-0.38,-77.5,132.5
-0.37,-77.5,137.5
-0.32,-77.5,142.5
-0.22,-77.5,147.5
-0.14,-77.5,152.5
-0.12,-77.5,157.5
-0.09,-77.5,162.5
-0.37,-77.5,167.5
-0.15,-77.5,172.5
-0.22,-77.5,177.5
-0.3,-77.5,177.5
-0.32,-77.5,172.5
-0.13,-77.5,167.5
0.03,-77.5,162.5
0.28,-77.5,157.5
0.41,-77.5,152.5
0.21,-77.5,147.5
0.04,-77.5,142.5
-0.31,-77.5,137.5
-0.52,-77.5,132.5
-0.56,-77.5,127.5
-0.48,-77.5,122.5
-0.38,-77.5,117.5
-0.25,-77.5,112.5
-0.17,-77.5,107.5
-0.11,-77.5,102.5
-0.05,-77.5,97.5
0.01,-77.5,92.5
0.05,-77.5,87.5
0.1,-77.5,82.5
0.16,-77.5,77.5
0.23,-77.5,72.5
0.36,-77.5,67.5
0.51,-77.5,62.5
0.6,-77.5,57.5
0.64,-77.5,52.5
0.69,-77.5,47.5
0.54,-77.5,42.5
0.62,-77.5,37.5
0.47,-77.5,32.5
0.08,-77.5,27.5
0.39,-77.5,22.5
0.3,-77.5,17.5
0.23,-77.5,12.5
0.26,-77.5,7.5
0.33,-77.5,2.5
-0.11,-72.5,2.5
0.27,-72.5,7.5
0.32,-72.5,12.5
0.35,-72.5,17.5
0.33,-72.5,22.5
0.33,-72.5,27.5
0.31,-72.5,32.5
0.2,-72.5,37.5
-0.34,-72.5,42.5
-0.11,-72.5,47.5
-0.32,-72.5,52.5
-0.53,-72.5,57.5
-0.89,-72.5,62.5
-1.37,-72.5,67.5
-4.03,-72.5,72.5
-2.83,-72.5,77.5
-1.82,-72.5,82.5
-1.36,-72.5,87.5
-0.93,-72.5,92.5
-0.46,-72.5,97.5
-0.16,-72.5,102.5
-0.06,-72.5,107.5
0.08,-72.5,112.5
0.05,-72.5,117.5
-0.07,-72.5,122.5
-0.06,-72.5,127.5
-0.04,-72.5,132.5
-0.05,-72.5,137.5
0.07,-72.5,142.5
0.24,-72.5,147.5
0.42,-72.5,152.5
0.5,-72.5,157.5
0.19,-72.5,162.5
0.02,-72.5,167.5
-0.17,-72.5,172.5
-0.12,-72.5,177.5
-0.02,-72.5,177.5
0.09,-72.5,172.5
0.01,-72.5,167.5
0.0,-72.5,162.5
0.0,-72.5,157.5
0.0,-72.5,152.5
0.0,-72.5,147.5
0.0,-72.5,142.5
0.0,-72.5,137.5
0.0,-72.5,132.5
0.0,-72.5,127.5
0.0,-72.5,122.5
-0.03,-72.5,117.5
-0.08,-72.5,112.5
-0.04,-72.5,107.5
-0.06,-72.5,102.5
0.02,-72.5,97.5
0.05,-72.5,92.5
0.04,-72.5,87.5
